title,fitness_category,tool,body_part,target,disease,youtube_id,youtube_url,thumb_url,page_no,rank_on_page
앉아서 다리 굽히기,근력/근지구력,웨이트기계,허벅지뒤쪽,성인,,6qdT91iNBBY,https://www.youtube.com/watch?v=6qdT91iNBBY,https://img.youtube.com/vi/6qdT91iNBBY/0.jpg,57,6
누워서 밀기,근력/근지구력,웨이트기계,몸통,성인,,QQuGZDIIuvg,https://www.youtube.com/watch?v=QQuGZDIIuvg,https://img.youtube.com/vi/QQuGZDIIuvg/0.jpg,57,7
몸통 들어올리기,근력/근지구력,웨이트기계,허리,성인,,B5eDTUNYhAo,https://www.youtube.com/watch?v=B5eDTUNYhAo,https://img.youtube.com/vi/B5eDTUNYhAo/0.jpg,57,8
앉아서 다리 모으기,근력/근지구력,웨이트기계,종아리뒤쪽,성인,,8ko-6CfE2G0,https://www.youtube.com/watch?v=8ko-6CfE2G0,https://img.youtube.com/vi/8ko-6CfE2G0/0.jpg,57,9
앉아서 다리 벌리기,근력/근지구력,웨이트기계,허벅지외측,성인,,LE7Zuw35yc4,https://www.youtube.com/watch?v=LE7Zuw35yc4,https://img.youtube.com/vi/LE7Zuw35yc4/0.jpg,57,10
앉아서 몸통 움츠리기,근력/근지구력,웨이트기계,윗복근,성인,,lFDYUpTVHBM,https://www.youtube.com/watch?v=lFDYUpTVHBM,https://img.youtube.com/vi/lFDYUpTVHBM/0.jpg,57,11
비스듬히 누워서 밀기,근력/근지구력,웨이트기계,몸통,성인,,k-17tim06L4,https://www.youtube.com/watch?v=k-17tim06L4,https://img.youtube.com/vi/k-17tim06L4/0.jpg,57,12
계단 올라갔다 내려오기,심폐지구력,맨몸,허벅지,성인,,57-nxXG0U8I,https://www.youtube.com/watch?v=57-nxXG0U8I,https://img.youtube.com/vi/57-nxXG0U8I/0.jpg,58,1
트레드밀에서 걷기,심폐지구력,자전거,하체,성인,,50UOtjMsGIs,https://www.youtube.com/watch?v=50UOtjMsGIs,https://img.youtube.com/vi/50UOtjMsGIs/0.jpg,58,2
줄넘기,심폐지구력,줄넘기,하체,성인,,7SPFH6HcK-g,https://www.youtube.com/watch?v=7SPFH6HcK-g,https://img.youtube.com/vi/7SPFH6HcK-g/0.jpg,58,3
